Rk,Player,Pos,Squad,Age,Min,90s,Gls/90,Ast/90,xA/90,npxG/90,KP,CrsPA,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,27,3195,35.5,0.08,0.06,0.1,0.07,31,9,215
2,Sergio Agüero\Sergio-Aguero,FW,Manchester City,30,2459,27.3,0.77,0.29,0.19,0.66,33,0,63
3,Nathan Aké\Nathan-Ake,DF,Bournemouth,23,3411,37.9,0.11,0,0.02,0.09,4,2,69
4,Marc Albrighton\Marc-Albrighton,FWMF,Leicester City,28,1625,18.1,0.11,0.11,0.16,0.07,29,15,80
5,Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,29,2922,32.5,0,0,0.02,0.04,7,1,123
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,19,2462,27.4,0.04,0.44,0.23,0.05,48,27,191
7,Alisson\Alisson,GK,Liverpool,25,3420,38,0,0,0,0,0,0,0
8,Dele Alli\Dele-Alli,MF,Tottenham,22,1825,20.3,0.25,0.15,0.14,0.29,28,3,96
9,Miguel Almirón\Miguel-Almiron,FWMF,Newcastle Utd,24,759,8.4,0,0,0.1,0.19,12,9,19
10,Marcos Alonso\Marcos-Alonso,DF,Chelsea,27,2759,30.7,0.07,0.13,0.11,0.09,31,9,133
11,Daniel Amartey\Daniel-Amartey,DF,Leicester City,23,641,7.1,0,0,0.02,0.05,3,0,29
12,Luke Amos\Luke-Amos,MF,Tottenham,21,3,0,0,0,0,0,0,0,0
13,Felipe Anderson\Felipe-Anderson,MFFW,West Ham,25,3043,33.8,0.27,0.12,0.2,0.15,62,14,188
14,Florin Andone\Florin-Andone,FW,Brighton,25,881,9.8,0.31,0,0.01,0.21,2,1,4
15,Michail Antonio\Michail-Antonio,FWMF,West Ham,28,2103,23.4,0.26,0.17,0.15,0.29,20,7,57
16,Stuart Armstrong\Stuart-Armstrong,MFFW,Southampton,26,1432,15.9,0.19,0.13,0.09,0.15,28,2,63
17,Marko Arnautović\Marko-Arnautovic,FW,West Ham,29,1990,22.1,0.45,0.18,0.17,0.4,33,2,39
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,23,3240,36,0,0,0,0,0,0,1
19,Harry Arter\Harry-Arter,MF,Cardiff City,28,1997,22.2,0,0.05,0.03,0.05,11,3,67
20,Christian Atsu\Christian-Atsu,MFFW,Newcastle Utd,26,1493,16.6,0.06,0,0.07,0.13,13,6,21
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,29,2726,30.3,0.73,0.17,0.14,0.53,33,4,66
22,Serge Aurier\Serge-Aurier,DFMF,Tottenham,25,564,6.3,0,0.32,0.09,0.02,5,7,27
23,Charlie Austin\Charlie-Austin,FW,Southampton,29,983,10.9,0.18,0.18,0.04,0.27,8,0,7
24,Jordan Ayew\Jordan-Ayew,FW,Crystal Palace,26,1181,13.1,0.08,0.15,0.07,0.21,12,0,17
25,Floyd Ayité\Floyd-Ayite,FWMF,Fulham,29,476,5.3,0.19,0,0.06,0.07,8,1,20
26,César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,28,3402,37.8,0.03,0.13,0.07,0.02,26,20,158
27,Ryan Babel\Ryan-Babel,FW,Fulham,31,1251,13.9,0.36,0.22,0.16,0.34,23,3,29
28,Juninho Bacuna\Juninho-Bacuna,MFDF,Huddersfield,20,1412,15.7,0.06,0,0.1,0.03,18,1,81
29,Leandro Bacuna\Leandro-Bacuna,MFDF,Cardiff City,26,561,6.2,0,0,0,0.01,1,2,15
30,Eric Bailly\Eric-Bailly,DF,Manchester Utd,24,638,7.1,0,0,0,0.03,0,0,8
31,Leighton Baines\Leighton-Baines,DF,Everton,33,375,4.2,0,0,0.03,0.02,4,1,20
32,Fabián Balbuena\Fabian-Balbuena,DF,West Ham,26,2013,22.4,0.04,0,0,0.09,3,0,39
33,Leon Balogun\Leon-Balogun,DF,Brighton,30,594,6.6,0.15,0,0,0.03,0,0,5
34,Sol Bamba\Sol-Bamba,DF,Cardiff City,33,2474,27.5,0.15,0.04,0.01,0.09,4,0,37
35,Phil Bardsley\Phil-Bardsley,DF,Burnley,33,1670,18.6,0,0,0.04,0.01,7,8,54
36,Ross Barkley\Ross-Barkley,MF,Chelsea,24,1245,13.8,0.22,0.36,0.15,0.28,20,2,64
37,Ashley Barnes\Ashley-Barnes,FW,Burnley,28,2388,26.5,0.45,0.08,0.13,0.38,20,2,39
38,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,20,1004,11.2,0.09,0.18,0.13,0.28,16,4,30
39,Antonio Barreca\Antonio-Barreca,DF,Newcastle Utd,23,5,0.1,0,0,0,0,0,0,1
40,Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,24,750,8.3,0.6,0,0.01,0.43,1,0,7
41,Jan Bednarek\Jan-Bednarek,DF,Southampton,22,2151,23.9,0,0.04,0.02,0.02,7,0,62
42,Asmir Begović\Asmir-Begovic,GK,Bournemouth,31,2160,24,0,0,0,0,0,0,0
43,Héctor Bellerín\Hector-Bellerin,DF,Arsenal,23,1533,17,0,0.29,0.12,0.06,8,6,85
44,Joe Bennett\Joe-Bennett,DF,Cardiff City,28,2639,29.3,0,0.03,0.04,0.02,13,9,74
45,Ryan Bennett\Ryan-Bennett,DF,Wolves,28,3060,34,0.03,0,0.02,0.04,5,0,74
46,Christian Benteke\Christian-Benteke,FW,Crystal Palace,27,814,9,0.11,0.11,0.13,0.38,7,0,15
