,Unnamed: 0,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
3,3,376490,66,SavedShot,0.8030000305175782,0.655,0.034214500337839134,Aleksandar Mitrovic,h,773,OpenPlay,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Franck Zambo,Pass
4,4,376494,89,MissedShots,0.5959999847412111,0.2920000076293945,0.005482853390276432,Bobby Reid,h,6827,OpenPlay,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,,None
5,0,376478,7,MissedShots,0.8480000305175781,0.6020000076293945,0.06435254961252213,Granit Xhaka,a,204,OpenPlay,2020,LeftFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Pierre-Emerick Aubameyang,Pass
6,1,376479,7,SavedShot,0.9540000152587892,0.4929999923706055,0.6487818360328674,Willian,a,700,OpenPlay,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,,Rebound
7,2,376480,8,Goal,0.9740000152587892,0.47,0.7580886483192444,Alexandre Lacazette,a,3277,OpenPlay,2020,LeftFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,,Rebound
8,3,376482,20,BlockedShot,0.8630000305175781,0.4870000076293946,0.11015225946903227,Mohamed Elneny,a,496,OpenPlay,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Alexandre Lacazette,Pass
9,4,376483,20,MissedShots,0.8180000305175781,0.5209999847412109,0.0572240874171257,Granit Xhaka,a,204,OpenPlay,2020,LeftFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,,Rebound
10,5,376484,26,ShotOnPost,0.8030000305175782,0.4970000076293946,0.13563410937786102,Willian,a,700,DirectFreekick,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,,Standard
11,6,376485,36,SavedShot,0.924000015258789,0.6509999847412109,0.08170896768569946,Pierre-Emerick Aubameyang,a,318,OpenPlay,2020,LeftFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Granit Xhaka,Chipped
12,7,376486,48,Goal,0.9490000152587892,0.4820000076293946,0.5060973167419434,Gabriel,a,5613,FromCorner,2020,OtherBodyPart,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Willian,Cross
13,8,376488,56,Goal,0.8719999694824219,0.6359999847412109,0.09433776885271072,Pierre-Emerick Aubameyang,a,318,OpenPlay,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Willian,Chipped
14,9,376489,61,BlockedShot,0.7340000152587891,0.4490000152587891,0.05264190211892128,Granit Xhaka,a,204,DirectFreekick,2020,LeftFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,,Standard
15,10,376491,72,BlockedShot,0.794000015258789,0.5309999847412109,0.03415199741721153,Granit Xhaka,a,204,SetPiece,2020,LeftFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Willian,Pass
16,11,376492,77,BlockedShot,0.965999984741211,0.3579999923706055,0.10653381794691086,Pierre-Emerick Aubameyang,a,318,OpenPlay,2020,RightFoot,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Héctor Bellerín,Pass
17,12,376493,77,MissedShots,0.9690000152587892,0.41,0.07018397003412248,Alexandre Lacazette,a,3277,FromCorner,2020,Head,14086,Fulham,Arsenal,0,3,2020-09-12 11:30:00,Nicolas Pepe,Cross
18,0,376518,12,Goal,0.92,0.5609999847412109,0.5024706125259399,Wilfried Zaha,h,522,OpenPlay,2020,RightFoot,14087,Crystal Palace,Southampton,1,0,2020-09-12 14:00:00,Andros Townsend,Cross
19,1,376520,35,SavedShot,0.905,0.5109999847412109,0.36499735713005066,Cheikhou Kouyaté,h,532,SetPiece,2020,RightFoot,14087,Crystal Palace,Southampton,1,0,2020-09-12 14:00:00,Andros Townsend,Cross
